id,species,body_mass_kg,shoulder_hump_height_cm,claw_length_cm,snout_length_cm,forearm_circumference_cm,ear_length_cm
KDK_16,Kodiak Bear,347.1,15.3,11.4,29.4,66.2,7.5
KDK_17,Kodiak Bear,298.9,15.0,10.3,28.3,67.0,7.9
KDK_18,Kodiak Bear,389.0,16.6,10.8,25.5,56.3,8.9
KDK_19,Kodiak Bear,536.5,17.9,10.1,25.1,54.7,9.9
KDK_20,Kodiak Bear,437.5,15.6,11.6,29.8,55.5,9.4
EUR_01,Eurasian Brown Bear,311.2,14.5,9.3,22.4,45.5,8.0
EUR_02,Eurasian Brown Bear,281.2,13.3,7.3,21.8,44.0,7.5
EUR_03,Eurasian Brown Bear,299.5,15.0,10.8,22.9,44.4,7.5
EUR_04,Eurasian Brown Bear,235.3,14.7,11.3,22.5,40.0,9.0
EUR_05,Eurasian Brown Bear,341.0,12.5,9.5,23.2,39.6,9.0
EUR_06,Eurasian Brown Bear,243.1,13.7,9.1,22.0,47.1,8.3
EUR_07,Eurasian Brown Bear,233.0,10.2,9.4,18.3,43.0,7.6
EUR_08,Eurasian Brown Bear,359.7,16.8,9.6,21.5,53.1,6.6
EUR_09,Eurasian Brown Bear,262.9,11.8,7.8,22.8,39.3,7.7
EUR_10,Eurasian Brown Bear,330.0,11.5,8.8,25.3,43.3,8.3
EUR_11,Eurasian Brown Bear,148.8,9.8,8.8,23.1,44.5,8.3
EUR_12,Eurasian Brown Bear,318.9,9.8,11.1,23.8,50.0,6.8
EUR_13,Eurasian Brown Bear,305.6,13.9,8.0,23.8,42.9,8.8
EUR_14,Eurasian Brown Bear,327.4,17.5,8.3,23.0,44.5,8.3
EUR_15,Eurasian Brown Bear,301.9,13.8,9.3,22.3,45.4,7.0
EUR_16,Eurasian Brown Bear,241.5,15.4,8.7,20.8,45.0,5.9
EUR_17,Eurasian Brown Bear,265.1,14.1,9.0,24.5,44.8,8.3
EUR_18,Eurasian Brown Bear,337.8,9.6,9.2,23.8,47.0,7.5
EUR_19,Eurasian Brown Bear,212.6,13.0,9.5,23.0,38.0,9.4
EUR_20,Eurasian Brown Bear,198.8,10.8,9.3,20.6,41.7,7.4
ABB_01,American Black Bear,143.2,1.2,5.8,20.3,39.9,12.7
ABB_02,American Black Bear,162.7,1.0,4.3,17.0,34.9,11.8
ABB_03,American Black Bear,161.0,1.7,6.0,18.3,38.2,10.2
ABB_04,American Black Bear,151.9,1.5,4.7,20.2,32.7,11.5
ABB_05,American Black Bear,204.6,1.6,5.5,21.5,31.4,9.8
ABB_06,American Black Bear,146.2,1.2,4.9,18.2,34.9,11.0
ABB_07,American Black Bear,146.8,0.8,5.4,18.0,33.5,11.8
ABB_08,American Black Bear,151.5,1.4,5.7,17.8,31.3,13.4
ABB_09,American Black Bear,138.5,1.8,4.2,16.6,43.5,11.9
ABB_10,American Black Bear,211.8,2.6,5.8,16.6,30.3,11.4
ABB_11,American Black Bear,134.5,1.7,6.1,19.9,39.1,10.7
ABB_12,American Black Bear,30.0,0.3,6.8,20.2,39.9,10.7
ABB_13,American Black Bear,167.2,1.6,5.0,16.4,36.7,11.2
ABB_14,American Black Bear,34.6,2.4,6.4,20.1,40.0,12.6
ABB_15,American Black Bear,194.6,1.1,7.0,19.6,35.9,10.4
ABB_16,American Black Bear,135.5,3.1,4.7,17.4,35.6,10.6
ABB_17,American Black Bear,138.3,1.8,4.6,17.6,34.8,10.5
ABB_18,American Black Bear,280.0,0.8,5.3,19.8,35.9,10.2
ABB_19,American Black Bear,136.5,1.6,6.6,16.6,24.6,11.2
ABB_20,American Black Bear,138.3,1.9,6.8,20.1,41.0,12.3
